episode,speed,total_reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed
79,34.0501545566421,-9539.357481417805,"Location(x=56.917419, y=199.666077, z=0.233665)","Location(x=56.921127, y=191.578339, z=0.000000)",18.9601788520813,533,1,10,22.352649801877835
80,27.650698834677844,-10339.908942690789,"Location(x=213.495041, y=185.307343, z=0.301817)","Location(x=193.685211, y=185.311829, z=0.000000)",12.30985164642334,345,0,2,20.073728199273305
81,44.00914953522569,-10392.981348095152,"Location(x=167.357147, y=299.226318, z=0.322237)","Location(x=167.358475, y=302.518494, z=0.000000)",14.066301822662354,393,1,9,21.898887742189313
82,21.934934783061408,-10311.526265211502,"Location(x=192.464569, y=109.879761, z=0.228527)","Location(x=191.409683, y=110.362679, z=0.000000)",8.924755096435547,253,1,15,13.957677908404182
83,30.055944318635742,-10681.839199980132,"Location(x=55.249027, y=199.259598, z=0.258199)","Location(x=55.252548, y=191.577576, z=0.000000)",9.730247259140015,274,1,8,20.407695828460028
84,21.601296464590412,-11007.885336222504,"Location(x=208.629349, y=190.796036, z=0.301917)","Location(x=193.686447, y=190.799423, z=0.000000)",13.517089366912842,379,1,0,16.736539126098105
85,25.422833133825918,-11057.732764721022,"Location(x=-11.323687, y=187.478668, z=0.303644)","Location(x=-7.454257, y=187.477798, z=0.000000)",8.30763053894043,236,1,2,18.032853648396557
86,30.79728835036967,-11078.611408402687,"Location(x=135.153519, y=245.508896, z=0.331305)","Location(x=135.156296, y=240.925629, z=0.000000)",9.624931812286377,270,1,2,17.97975511236375
87,28.522116606881223,-11499.448000473734,"Location(x=196.905060, y=307.711212, z=0.318609)","Location(x=191.011780, y=301.955017, z=0.000000)",12.337195634841919,349,1,8,17.389847592583063
88,32.85190964250455,-11697.515278829756,"Location(x=-12.320609, y=106.786934, z=0.325991)","Location(x=-5.687737, y=110.980743, z=0.000000)",11.717088222503662,336,1,14,21.98441898516532
89,30.089185911265194,-11880.261895103096,"Location(x=143.263428, y=232.422195, z=0.333008)","Location(x=143.260681, y=236.930557, z=0.000000)",12.03847074508667,334,1,4,18.041034477230202
90,30.888887512415376,-11910.702265251919,"Location(x=189.145111, y=106.329353, z=0.239927)","Location(x=188.298538, y=107.430641, z=0.000000)",10.82164216041565,300,1,7,20.849050069307726
91,31.38980827073375,-11961.44468869757,"Location(x=-11.561516, y=181.691574, z=0.324999)","Location(x=-7.455564, y=181.690643, z=0.000000)",9.16997766494751,257,1,4,16.859015961205248
92,38.656934337604056,-12378.75442933943,"Location(x=5.886263, y=165.775696, z=0.326433)","Location(x=-3.459160, y=165.761673, z=0.000000)",13.336919069290161,379,1,7,20.515018871301123
93,30.283447813099087,-12359.145323364173,"Location(x=-2.199964, y=313.316162, z=0.320724)","Location(x=-0.111288, y=305.968933, z=0.000000)",11.868620157241821,342,1,12,19.862761368268696
94,27.764843929079476,-12504.711432352175,"Location(x=0.557458, y=256.522400, z=0.322181)","Location(x=-3.430619, y=256.525818, z=0.000000)",10.395654439926147,296,1,10,17.854773233265576
